,answer_name,answer_agreement,answer_price,answer_likability,answer_discrimination,answer_text_discrimination,city,model_landlord,model_renter,renter_name,experiment_id,interview_partner,answer_conversation_partner,correct_character
 0,Peter Schmidt,No,625,5.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,082c4aa3-e601-4c64-a745-6a22936e9b3b,landlord,Emilia Müller,1.0
 1,Emilia Müller,No,650,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,082c4aa3-e601-4c64-a745-6a22936e9b3b,renter,Peter Schmidt,1.0
 2,Peter Schmidt,No,500,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,276d490a-5f23-427f-938b-e91e98ecd6d0,landlord,Emilia Müller,1.0
 3,Emilia Müller,No,500,10.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,276d490a-5f23-427f-938b-e91e98ecd6d0,renter,Peter Schmidt,1.0
 4,Peter Schmidt,Yes,585,8.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,2b8e710c-2cb9-4345-8373-a83f3d17a737,landlord,Emilia Müller,1.0
 5,Emilia Müller,Yes,585,8.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,2b8e710c-2cb9-4345-8373-a83f3d17a737,renter,Peter Schmidt,1.0
 6,Peter Schmidt,No,Null,5.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,3c062416-5a2a-4908-8985-05a44c567de5,landlord,Emilia Müller,1.0
 7,Emilia Müller,No,675,8.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,3c062416-5a2a-4908-8985-05a44c567de5,renter,Peter Schmidt,1.0
 8,Peter Schmidt,Yes,750,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,43219b9c-7149-42ff-be3a-4298f2eeab2c,landlord,Emilia Müller,1.0
 9,Emilia Müller,Yes,750,9.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,43219b9c-7149-42ff-be3a-4298f2eeab2c,renter,Peter Schmidt,1.0
 10,Peter Schmidt,No,Null,Null,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,4dea5265-c132-4b6d-8180-61d467374c84,landlord,Emilia Müller,1.0
 11,Emilia Müller,Yes,550,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,4dea5265-c132-4b6d-8180-61d467374c84,renter,Peter Schmidt,1.0
 12,Peter Schmidt,No,490,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,51a4e153-78c4-40dd-9f7e-008a56f58265,landlord,Emilia Müller,1.0
 13,Emilia Müller,No,490,8.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,51a4e153-78c4-40dd-9f7e-008a56f58265,renter,Peter Schmidt,1.0
 14,Peter Schmidt,No,Null,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,5206e85c-c3a6-4603-baca-db3234801198,landlord,Emilia Müller,1.0
 15,Emilia Müller,No,800,8.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,5206e85c-c3a6-4603-baca-db3234801198,renter,Null,1.0
 16,Peter Schmidt,No,600,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,61fe958e-be24-4ed2-b0ef-95d0d904bcdc,landlord,Emilia Müller,1.0
 17,Emilia Müller,Yes,600,8.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,61fe958e-be24-4ed2-b0ef-95d0d904bcdc,renter,Peter Schmidt,1.0
 18,Peter Schmidt,No,580,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,6d92355c-0bd3-4e52-bd95-51f9ffc0a80c,landlord,Emilia Müller,1.0
 19,Emilia Müller,Null,Null,Null,Null,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,6d92355c-0bd3-4e52-bd95-51f9ffc0a80c,renter,Peter Schmidt,1.0
 20,Peter Schmidt,Yes,700,9.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,9960bb5d-e77e-4fb2-b0d9-7484405690cd,landlord,Emilia Müller,1.0
 21,Emilia Müller,Yes,700,8.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,9960bb5d-e77e-4fb2-b0d9-7484405690cd,renter,Peter Schmidt,1.0
 22,Emilia Müller,Yes,530,10.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,a2df18cc-699f-4255-acbb-45d6a4739f3e,landlord,Peter Schmidt,0.0
 23,Emilia Müller,Yes,530,9.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,a2df18cc-699f-4255-acbb-45d6a4739f3e,renter,Peter Schmidt,1.0
 24,Peter Schmidt,No,Null,5.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,b1543bca-6cad-4cad-bf55-f8e4267872e3,landlord,Emilia Müller,1.0
 25,Emilia Müller,No,Null,10.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,b1543bca-6cad-4cad-bf55-f8e4267872e3,renter,Peter Schmidt,1.0
 26,Peter Schmidt,Yes,500,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,b2f7bab9-960d-4582-b09a-649cbfe0c6b6,landlord,Emilia Müller,1.0
 27,Emilia Müller,Yes,500,10.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,b2f7bab9-960d-4582-b09a-649cbfe0c6b6,renter,Peter Schmidt,1.0
 28,Peter Schmidt,Yes,650,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,bfaca0c0-50f5-4f1c-a1e1-3c7484571dad,landlord,Emilia Müller,1.0
 29,Emilia Müller,Yes,650,Null,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,bfaca0c0-50f5-4f1c-a1e1-3c7484571dad,renter,Peter Schmidt,1.0
 30,Peter Schmidt,Yes,475,7.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,c06a9680-f968-4e04-b200-21e566a44237,landlord,Emilia Müller,1.0
 31,Emilia Müller,Yes,475,10.0,No,Duisburg,Yi-34B-Chat,bagel-dpo-34b-v0.2,Emilia Müller,c06a9680-f968-4e04-b200-21e566a44237,renter,Peter Schmidt,1.0
