Apartment Size,Name,Min Price,Max Price,Avg Price,Last Price,Folder Name,Original Price List,Modified Price List
50,Max Müller from Germany,950.0,1100.0,1033.3333333333333,1100.0,02acea39-1018-4557-995b-3082499c7cad,"950.0, 1100.0, 1050.0, 1100.0, 1100.0","950.0, 1050.0, 1100.0"
50,Peter Schmidt from Germany,1100.0,1200.0,1133.3333333333333,1100.0,02acea39-1018-4557-995b-3082499c7cad,"1200.0, 950.0, 1100.0, 1050.0, 1100.0","1200.0, 1100.0, 1100.0"
50,Max Müller from Germany,600.0,700.0,650.0,700.0,096a6fd2-8d75-4168-a812-5675187b4027,"600.0, 800.0, 700.0","600.0, 700.0"
50,Peter Schmidt from Germany,700.0,800.0,750.0,700.0,096a6fd2-8d75-4168-a812-5675187b4027,"600.0, 800.0, 700.0","800.0, 700.0"
50,Max Müller from Germany,800.0,890.0,853.75,890.0,23091cd6-b783-4773-9c9d-0035be006771,"800.0, 900.0, 850.0, 900.0, 875.0, 890.0, 890.0","800.0, 850.0, 875.0, 890.0"
50,Peter Schmidt from Germany,890.0,900.0,896.6666666666666,890.0,23091cd6-b783-4773-9c9d-0035be006771,"800.0, 900.0, 850.0, 900.0, 875.0, 890.0","900.0, 900.0, 890.0"
50,Max Müller from Germany,7.0,10.0,8.5,7.0,25851312-71f9-4fc4-868b-af21239cb760,"5.0, 10.0, 7.0, 7.0","10.0, 7.0"
50,Peter Schmidt from Germany,5.0,7.0,6.333333333333333,7.0,25851312-71f9-4fc4-868b-af21239cb760,"5.0, 10.0, 7.0, 7.0","5.0, 7.0, 7.0"
50,Max Müller from Germany,500.0,550.0,537.5,550.0,3c2293b4-714c-4f93-bb38-a7afca8655b8,"500.0, 550.0, 600.0, 550.0, 600.0, 550.0","500.0, 550.0, 550.0, 550.0"
50,Peter Schmidt from Germany,500.0,600.0,575.0,600.0,3c2293b4-714c-4f93-bb38-a7afca8655b8,"500.0, 550.0, 600.0, 550.0, 600.0, 600.0","500.0, 600.0, 600.0, 600.0"
50,Max Müller from Germany,750.0,1000.0,850.0,1000.0,3c8824d0-137d-4e48-92c5-ebc41ec6a3e2,"750.0, 1000.0, 800.0, 1000.0","750.0, 800.0, 1000.0"
50,Peter Schmidt from Germany,800.0,1000.0,900.0,800.0,3c8824d0-137d-4e48-92c5-ebc41ec6a3e2,"750.0, 1000.0, 800.0","1000.0, 800.0"
50,Max Müller from Germany,850.0,1000.0,925.0,900.0,4f4d991e-7c7e-402f-bf07-5101c97c24e5,"1000.0, 950.0, 850.0, 900.0, 900.0","1000.0, 950.0, 850.0, 900.0"
50,Peter Schmidt from Germany,900.0,950.0,925.0,900.0,4f4d991e-7c7e-402f-bf07-5101c97c24e5,"1000.0, 950.0, 850.0, 900.0","950.0, 900.0"
50,Max Müller from Germany,800.0,1100.0,987.5,1100.0,71b4f760-f7bd-4cd3-806a-2a204cb104e2,"800.0, 950.0, 1100.0, 1100.0, 1100.0","800.0, 950.0, 1100.0, 1100.0"
50,Peter Schmidt from Germany,1100.0,1200.0,1133.3333333333333,1100.0,71b4f760-f7bd-4cd3-806a-2a204cb104e2,"1200.0, 1100.0, 1100.0","1200.0, 1100.0, 1100.0"
50,Max Müller from Germany,925.0,1200.0,1025.0,975.0,71e41a10-9556-4a6a-bb9f-aa0cf8c616df,"1200.0, 1000.0, 950.0, 925.0, 975.0, 975.0","1200.0, 1000.0, 925.0, 975.0"
50,Peter Schmidt from Germany,950.0,1200.0,1020.0,975.0,71e41a10-9556-4a6a-bb9f-aa0cf8c616df,"1200.0, 1000.0, 950.0, 925.0, 975.0, 975.0","1200.0, 1000.0, 950.0, 975.0, 975.0"
50,Max Müller from Germany,900.0,900.0,900.0,900.0,77e86cb4-105a-4b05-af58-73fe8ba2bcd5,"1200.0, 900.0, 900.0","900.0, 900.0"
50,Peter Schmidt from Germany,900.0,1200.0,1050.0,1050.0,77e86cb4-105a-4b05-af58-73fe8ba2bcd5,"1200.0, 900.0, 1050.0","1200.0, 900.0, 1050.0"
50,Max Müller from Germany,100.0,800.0,687.5,800.0,8aa2e79c-ac69-4b98-a5f6-d3221f9a047a,"750.0, 800.0, 800.0, 12.0, 800.0, 100.0, 700.0, 800.0, 750.0, 800.0","750.0, 800.0, 800.0, 800.0, 100.0, 700.0, 750.0, 800.0"
50,Peter Schmidt from Germany,750.0,800.0,775.0,750.0,8aa2e79c-ac69-4b98-a5f6-d3221f9a047a,"750.0, 800.0, 12.0, 800.0, 750.0","750.0, 800.0, 800.0, 750.0"
50,Max Müller from Germany,850.0,850.0,850.0,850.0,91e4d8c8-a0ab-4a83-848f-e0fd5256fb8d,"850.0, 850.0","850.0, 850.0"
